FIPStxt,Stabr,Area_name,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018
0,US,United States,13.1,18,17
1000,AL,Alabama,16.8,23.9,22.8
1001,AL,Autauga County,13.8,19.3,19.5
1003,AL,Baldwin County,9.8,13.9,13.1
1005,AL,Barbour County,30.9,43.9,36.7
1007,AL,Bibb County,21.8,27.8,26.3
1009,AL,Blount County,13.2,18,15.5
1011,AL,Bullock County,42.5,68.3,66.5
1013,AL,Butler County,24.5,36.3,35.3
1015,AL,Calhoun County,19.5,26.5,24.1
1017,AL,Chambers County,18.7,30.7,30.3
1019,AL,Cherokee County,16.3,24.7,22.2
1021,AL,Chilton County,17.3,23.3,22.7
1023,AL,Choctaw County,22.1,32.1,29.2
1025,AL,Clarke County,22.8,31.7,31.4
1027,AL,Clay County,17.6,25.8,25
1029,AL,Cleburne County,16,22.9,22.9
1031,AL,Coffee County,13.8,21.9,20.1
1033,AL,Colbert County,13.8,21,19.3
1035,AL,Conecuh County,24.4,40.1,38.9
1037,AL,Coosa County,18.9,30.1,30.5
1039,AL,Covington County,19.9,29.5,30.2
1041,AL,Crenshaw County,19.5,30.8,29.3
1043,AL,Cullman County,14.5,19.7,19.8
1045,AL,Dale County,16.2,24.4,24.4
1047,AL,Dallas County,31.4,48,45.3
1049,AL,DeKalb County,21.3,29.6,29.6
1051,AL,Elmore County,11.2,16.3,15.8
1053,AL,Escambia County,23.6,32.8,31.5
1055,AL,Etowah County,17.5,28.8,25.1
1057,AL,Fayette County,23.5,37.4,39.1
1059,AL,Franklin County,19.2,30.1,28.8
1061,AL,Geneva County,21.3,29.5,26.8
1063,AL,Greene County,30.1,44,42.5
1065,AL,Hale County,25.6,35.6,34
1067,AL,Henry County,17.9,27.2,24.4
1069,AL,Houston County,16.5,21.9,21.7
1071,AL,Jackson County,19.7,26.8,22.9
1073,AL,Jefferson County,16.1,22.6,21.1
1075,AL,Lamar County,17.4,25.3,23.1
1077,AL,Lauderdale County,14,17.9,16
1079,AL,Lawrence County,19.3,31.4,33.2
1081,AL,Lee County,19,19.3,19.2
1083,AL,Limestone County,11.4,15.8,15.8
1085,AL,Lowndes County,25.1,39.6,40.1
1087,AL,Macon County,30.2,39.7,39
1089,AL,Madison County,11.9,16.9,15.2
1091,AL,Marengo County,24,34.5,33.1
1093,AL,Marion County,20.2,27.4,25.9
