FIPStxt,Stabr,area_name,Unemp_rate_19,Med_Income_18
0,US,United States,3.7,"61,937"
1000,AL,Alabama,3,"49,881"
1001,AL,"Autauga County, AL",2.7,"59,338"
1003,AL,"Baldwin County, AL",2.7,"57,588"
1005,AL,"Barbour County, AL",3.8,"34,382"
1007,AL,"Bibb County, AL",3.1,"46,064"
1009,AL,"Blount County, AL",2.7,"50,412"
1011,AL,"Bullock County, AL",3.6,"29,267"
1013,AL,"Butler County, AL",3.6,"37,365"
1015,AL,"Calhoun County, AL",3.5,"45,400"
1017,AL,"Chambers County, AL",2.9,"39,917"
1019,AL,"Cherokee County, AL",2.9,"42,132"
1021,AL,"Chilton County, AL",2.7,"47,547"
1023,AL,"Choctaw County, AL",4.7,"39,907"
1025,AL,"Clarke County, AL",5.8,"40,741"
1027,AL,"Clay County, AL",3,"39,201"
1029,AL,"Cleburne County, AL",3.2,"46,495"
1031,AL,"Coffee County, AL",2.9,"55,122"
1033,AL,"Colbert County, AL",3.7,"49,055"
1035,AL,"Conecuh County, AL",4,"32,613"
1037,AL,"Coosa County, AL",3,"42,423"
1039,AL,"Covington County, AL",3.4,"40,203"
1041,AL,"Crenshaw County, AL",2.8,"39,057"
1043,AL,"Cullman County, AL",2.6,"45,796"
1045,AL,"Dale County, AL",3.1,"45,309"
1047,AL,"Dallas County, AL",5.5,"34,035"
1049,AL,"DeKalb County, AL",2.8,"39,491"
1051,AL,"Elmore County, AL",2.6,"60,367"
1053,AL,"Escambia County, AL",3.5,"38,418"
1055,AL,"Etowah County, AL",3.3,"44,903"
1057,AL,"Fayette County, AL",3.1,"39,254"
1059,AL,"Franklin County, AL",2.8,"39,388"
1061,AL,"Geneva County, AL",2.9,"37,823"
1063,AL,"Greene County, AL",5.6,"28,524"
1065,AL,"Hale County, AL",3.9,"34,724"
1067,AL,"Henry County, AL",3.6,"46,027"
1069,AL,"Houston County, AL",3,"47,993"
1071,AL,"Jackson County, AL",3.3,"41,929"
1073,AL,"Jefferson County, AL",2.9,"55,013"
1075,AL,"Lamar County, AL",3.1,"40,936"
1077,AL,"Lauderdale County, AL",3.3,"48,707"
1079,AL,"Lawrence County, AL",3.1,"43,909"
1081,AL,"Lee County, AL",2.7,"48,937"
1083,AL,"Limestone County, AL",2.6,"64,863"
1085,AL,"Lowndes County, AL",5.7,"33,973"
1087,AL,"Macon County, AL",4.3,"32,495"
1089,AL,"Madison County, AL",2.5,"63,755"
1091,AL,"Marengo County, AL",3.5,"37,733"
1093,AL,"Marion County, AL",3.4,"37,887"
1095,AL,"Marshall County, AL",2.5,"46,233"
1097,AL,"Mobile County, AL",3.7,"43,598"
1099,AL,"Monroe County, AL",4.9,"39,556"
1101,AL,"Montgomery County, AL",3.1,"49,640"
